group1	group2	Degree	Observed.Overlap	Expected.Overlap	FE	P.value	p.adj
27	ours_HS_C_1kb	huang_DGRP	2	101	41.72267516	2.420746024	4.51e-17	2.8413e-16
28	ours_all_1kb	durham_fecundityLifetime	2	5	1.942165605	2.574445756	0.039045459	0.0647332609736842
29	ours_C_1kb	durham_fecundityLifetime	2	1	0.171210191	5.84077381	0.158039332	0.211839955659574
30	ours_HS_1kb	durham_fecundityLifetime	2	2	0.662101911	3.020683021	0.14075171	0.197052394
31	ours_HS_C_1kb	durham_fecundityLifetime	2	5	1.32955414	3.760659193	0.008744254	0.0157396572
32	ours_all_1kb	durham_fecundityw1	2	4	1.479745223	2.703168044	0.053832274	0.0869598272307692
33	ours_C_1kb	durham_fecundityw1	2	1	0.13044586	7.666015625	0.122820288	0.175856321454545
34	ours_HS_1kb	durham_fecundityw1	2	2	0.504458599	3.964646465	0.088991587	0.136743170268293
35	ours_HS_C_1kb	durham_fecundityw1	2	2	1.012993631	1.974346076	0.269040816	0.332344537411765
36	ours_all_1kb	durham_fecundityw3	2	5	2.127133758	2.350580908	0.055426274	0.08729638155
37	ours_C_1kb	durham_fecundityw3	2	0	0.187515924	0	1	1
38	ours_HS_1kb	durham_fecundityw3	2	2	0.725159236	2.758014932	0.162916137	0.2138274298125
39	ours_HS_C_1kb	durham_fecundityw3	2	3	1.456178344	2.06018721	0.175540207	0.225694551857143
40	ours_all_1kb	durham_fecundityw5	2	63	24.23082803	2.599993691	8.19e-13	3.6855e-12
41	ours_C_1kb	durham_fecundityw5	2	7	2.136050955	3.277075382	0.005680621	0.0108448219090909
42	ours_HS_1kb	durham_fecundityw5	2	30	8.260509554	3.63173722	1.03e-09	4.055625e-09
43	ours_HS_C_1kb	durham_fecundityw5	2	41	16.5877707	2.471700432	6.63e-08	2.08845e-07
44	ours_all_1kb	durham_fecundityw7	2	66	25.43312102	2.595041322	2.55e-13	1.23576923076923e-12
45	ours_C_1kb	durham_fecundityw7	2	2	2.242038217	0.892045455	0.659375687	0.783786193981132
46	ours_HS_1kb	durham_fecundityw7	2	30	8.670382166	3.460055096	3.29e-09	1.21923529411765e-08
47	ours_HS_C_1kb	durham_fecundityw7	2	44	17.41082803	2.527162978	1.11e-08	3.885e-08
48	ours_all_1kb	durham_lifspan	2	3	1.942165605	1.544667454	0.306648726	0.371516725730769
49	ours_C_1kb	durham_lifspan	2	0	0.171210191	0	1	1
50	ours_HS_1kb	durham_lifspan	2	0	0.662101911	0	1	1
51	ours_HS_C_1kb	durham_lifspan	2	3	1.32955414	2.256395516	0.144307604	0.197638675043478
52	ours_all_1kb	carnes	2	252	116.0675159	2.17115011	6.04e-35	1.9026e-33
53	ours_C_1kb	carnes	2	25	10.23184713	2.443351594	2.4e-05	5.6e-05
54	ours_HS_1kb	carnes	2	96	39.56847134	2.426174092	1.56e-16	8.93454545454546e-16
55	ours_HS_C_1kb	carnes	2	177	79.4566879	2.227628721	1.72e-25	2.1672e-24
56	ours_all_1kb	remolina	2	98	86.28764331	1.135736199	0.097229312	0.145843968
57	ours_C_1kb	remolina	2	5	7.606624204	0.657321811	0.884065119	0.974121591413793
58	ours_HS_1kb	remolina	2	36	29.41624204	1.2238137	0.121579751	0.175856321454545
59	ours_HS_C_1kb	remolina	2	64	59.07019108	1.083456797	0.265953232	0.332344537411765
60	ours_all_1kb	fabian	2	120	80.18369427	1.496563623	3.68e-06	1.008e-05
61	ours_C_1kb	fabian	2	6	7.068535032	0.84883218	0.716374134	0.835769823
62	ours_HS_1kb	fabian	2	53	27.33535032	1.938881316	2.83e-06	8.10409090909091e-06
63	ours_HS_C_1kb	fabian	2	74	54.89159236	1.348111738	0.005066608	0.0099748845
