term	name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Anno
GO:0007274	neuromuscular synaptic transmission	49	5	3.78	3.25	0.01	0.023	4.16	1.28	10.6	7	Process	31625, 33753, 38231, 42327, 42994	246439, 31607, 31625, 31724, 318623, 32303, 32406, 32470, 32746, 32981, 33275, 3355084, 33753, 33765, 33788, 33789, 33962, 34038, 35052, 35532, 35977, 36460, 36526, 37006, 37734, 37778, 37781, 38231, 39052, 40233, 40305, 40582, 40970, 41091, 41694, 41719, 41880, 42150, 42169, 42272, 42327, 42371, 42646, 42933, 42994, 44096, 47091, 49297, 64877
GO:0030707	ovarian follicle cell development	51	5	3.64	3.14	0.012	0.024	3.97	1.22	10.1	4	Process	33753, 34665, 38231, 38418, 42757	2768852, 31151, 31239, 31248, 31293, 31358, 31554, 31596, 32078, 32080, 32256, 32813, 32948, 32981, 33196, 33432, 33526, 33529, 33753, 33796, 33916, 34330, 34665, 35097, 35293, 35653, 35731, 35851, 36032, 36150, 37778, 38146, 38231, 38418, 38424, 40958, 41085, 41136, 41140, 42131, 42313, 42737, 42757, 42844, 43725, 43767, 44540, 44801, 47781, 48317, 49424
GO:0043066	negative regulation of apoptotic process	51	5	3.64	3.14	0.012	0.024	3.97	1.22	10.1	8	Process	34127, 34665, 37455, 37516, 41260	31016, 31027, 31518, 31713, 326214, 33477, 33512, 3354888, 34127, 34159, 34379, 34665, 35053, 35253, 35261, 35742, 36251, 36290, 36361, 36575, 36671, 36748, 37455, 37516, 37601, 37851, 38017, 38375, 38489, 38657, 38936, 39753, 40260, 40610, 40958, 41140, 41260, 41957, 42077, 42109, 42169, 42297, 42616, 43383, 43673, 43697, 45278, 45328, 49424, 50070, 53585
GO:0001745	compound eye morphogenesis	75	6	2.97	2.85	0.016	0.029	3.18	1.12	7.38	10	Process	31292, 33753, 36171, 37455, 41785, 43654	31151, 31194, 31292, 31293, 32078, 32080, 32536, 32813, 32918, 32976, 32979, 33218, 33282, 33432, 33529, 3355114, 3355143, 33613, 33753, 33782, 34286, 34328, 34519, 34636, 34793, 34896, 35376, 35662, 35731, 36171, 36242, 36421, 36578, 36775, 36989, 37386, 37455, 37841, 38067, 38424, 3885647, 39259, 39419, 39439, 39440, 39441, 39750, 40233, 40314, 40464, 40487, 40527, 41062, 41086, 41709, 41772, 41783, 41785, 41861, 42501, 42737, 42896, 43385, 43481, 43654, 43812, 43856, 44097, 44108, 44129, 44279, 45307, 45922, 48535, 49077
GO:0007165	signal transduction	97	7	2.68	2.76	0.016	0.029	2.85	1.1	6.2	4	Process	35107, 35956, 36937, 41398, 41612, 43580, 44339	246638, 2768679, 2768944, 31023, 31221, 31251, 31493, 31659, 31746, 31872, 31970, 31987, 32114, 32233, 32279, 32457, 32522, 32531, 32534, 33003, 33043, 33196, 33218, 3355013, 33638, 34242, 34367, 34506, 34510, 34594, 35107, 35207, 35267, 35329, 35900, 35950, 35956, 36125, 36445, 36703, 36937, 37011, 37083, 37272, 37277, 37824, 38023, 38065, 38489, 38534, 38654, 38872, 38895, 39516, 39659, 39663, 40090, 40162, 40165, 40201, 40723, 40732, 41084, 41398, 41399, 41612, 41760, 41817, 41988, 42169, 42428, 42634, 42676, 42709, 42821, 42862, 42866, 43096, 43130, 43146, 43222, 43230, 43312, 43580, 43766, 43770, 43775, 43803, 43875, 43904, 44096, 44339, 44355, 44497, 45307, 49045, 5740323
GO:0055085	transmembrane transport	221	12	2.01	2.54	0.017	0.029	2.12	1.06	3.84	4	Process	246552, 249663, 33939, 33961, 38255, 39965, 40727, 42257, 42481, 45380, 46085, 47253	117368, 246519, 246552, 246553, 249663, 2768938, 2768939, 30994, 31047, 31198, 31553, 31612, 31614, 31653, 31674, 318594, 318649, 318681, 318887, 32008, 32127, 32208, 32263, 32401, 32468, 326130, 326161, 32780, 32851, 32915, 32923, 32924, 32925, 32926, 32992, 33167, 33292, 33427, 3346192, 33545, 33547, 33548, 3354861, 3354990, 3354991, 3354992, 33599, 33600, 33650, 33685, 33695, 33700, 33832, 33939, 33961, 33987, 34117, 34140, 34148, 34330, 34350, 34390, 34499, 34500, 34509, 34686, 34890, 35111, 35334, 35366, 35376, 35499, 35513, 35520, 35521, 35697, 35745, 35774, 35857, 35858, 35860, 35935, 36071, 36236, 36237, 36263, 36381, 36393, 36428, 36458, 36577, 36582, 36589, 36634, 36694, 36764, 36806, 36994, 37025, 37047, 37168, 37170, 37275, 37287, 37294, 37427, 37479, 37614, 37624, 37625, 37736, 37737, 37843, 38109, 38193, 38255, 38299, 38352, 38373, 38662, 38664, 38689, 38725, 38726, 38808, 38813, 38976, 39314, 39322, 39367, 39415, 39458, 39461, 39471, 39626, 39759, 39914, 39965, 40039, 40049, 40080, 40129, 40437, 40441, 40551, 40552, 40727, 40728, 40866, 40867, 41075, 41259, 41287, 41316, 41342, 41368, 41428, 41448, 41590, 41789, 41847, 41882, 41901, 41902, 41962, 41963, 41967, 41975, 42019, 42036, 42115, 42257, 42334, 42335, 42336, 42337, 42338, 42339, 42362, 42376, 42377, 42423, 42426, 42429, 42481, 42500, 42510, 42606, 42890, 42891, 42893, 42928, 42950, 42962, 43030, 43136, 43353, 43445, 43450, 43533, 43616, 43634, 43636, 43677, 43742, 43743, 43744, 43772, 43786, 44268, 44269, 44978, 45248, 45338, 45380, 45883, 46085, 47253, 47905, 48805, 5740840
GO:0046331	lateral inhibition	172	10	2.16	2.54	0.018	0.031	2.27	1.06	4.35	8	Process	35107, 36411, 37216, 39493, 39518, 42256, 43654, 43974, 44861, 5740318	31047, 31204, 31293, 31309, 31347, 31451, 31603, 31715, 31728, 31798, 318044, 31869, 318824, 31962, 31967, 32005, 32303, 32479, 326116, 32627, 32631, 32723, 32763, 33003, 33025, 33274, 33438, 33591, 33602, 33619, 33637, 33641, 33651, 33656, 33686, 33739, 33782, 33790, 33920, 33959, 33968, 34330, 34414, 34423, 34449, 34480, 34503, 34573, 34592, 34794, 34881, 34919, 34985, 35009, 35056, 35107, 35207, 35311, 35327, 35366, 35427, 35759, 35795, 35816, 35997, 36329, 36411, 36527, 36545, 36564, 36606, 36746, 36762, 37216, 37310, 37345, 37364, 37576, 37921, 37931, 38028, 38065, 38136, 38290, 38492, 38884, 38963, 39049, 39153, 39340, 39423, 39443, 39493, 39518, 39612, 39647, 39750, 39915, 39922, 40063, 40105, 40147, 40190, 40201, 40260, 40308, 40487, 40607, 40683, 40699, 40711, 40761, 40793, 40919, 40973, 41021, 41037, 41062, 41085, 41189, 41261, 41543, 41704, 41748, 41864, 42077, 42128, 42218, 42221, 42256, 42313, 42445, 42567, 42661, 42751, 42759, 42836, 42926, 42964, 43162, 43166, 43170, 43262, 43275, 43414, 43466, 43549, 43654, 43729, 43798, 43829, 43869, 43974, 44010, 44011, 44046, 44096, 44154, 44226, 44724, 44728, 44747, 44811, 44861, 46015, 46020, 46059, 48448, 53473, 53562, 53580, 5740318
GO:0007498	mesoderm development	60	5	3.09	2.7	0.022	0.037	3.32	1.03	8.32	5	Process	260645, 31591, 39002, 43323, 43650	19835749, 260645, 31293, 31591, 32314, 33148, 33432, 33916, 34330, 34445, 34822, 35047, 35158, 35321, 35694, 35719, 36032, 36101, 36255, 36258, 36515, 36674, 36850, 37655, 3771968, 37741, 38153, 38534, 38988, 39002, 39153, 39564, 39861, 40297, 41085, 41136, 41770, 41822, 42160, 42313, 42537, 42596, 42737, 43183, 43190, 43230, 43323, 43466, 43648, 43650, 43814, 43869, 44013, 44289, 44544, 44849, 45278, 50147, 53425, 53448
GO:0048477	oogenesis	209	11	1.95	2.31	0.026	0.039	2.05	0.993	3.8	7	Process	117353, 34665, 37065, 37070, 37455, 39999, 41260, 41785, 43415, 43580, 45380	117353, 2768677, 2768981, 31151, 31239, 31247, 31248, 31262, 31293, 31309, 31358, 31405, 31429, 31442, 31566, 31603, 31717, 317826, 31789, 318102, 318579, 31938, 32057, 32078, 32080, 32367, 32458, 32608, 326153, 32660, 32677, 32796, 32965, 32981, 33281, 33290, 33418, 33432, 3346149, 33498, 33505, 33507, 33611, 33711, 33716, 33796, 33829, 33835, 33881, 33943, 34070, 34132, 34284, 34524, 34609, 34648, 34665, 34688, 34709, 34772, 34924, 34969, 35051, 35197, 35259, 35293, 35380, 35381, 35540, 35680, 35731, 35851, 35997, 36001, 36269, 36311, 36380, 36409, 36461, 36499, 36645, 36788, 36791, 36959, 37065, 37070, 37090, 37141, 37215, 37230, 37386, 37402, 37455, 37619, 3772180, 3772583, 37757, 37962, 38007, 38017, 38291, 38389, 38427, 38565, 38580, 38639, 38654, 38811, 38816, 38905, 39198, 39241, 39377, 39494, 39536, 39550, 39551, 39554, 39744, 39770, 39879, 39962, 39999, 40061, 40104, 40133, 40191, 40201, 40217, 40314, 40489, 40680, 40714, 40830, 40935, 41066, 41084, 41094, 41260, 41431, 41569, 41666, 41718, 41746, 41770, 41785, 41852, 41911, 41919, 41942, 41952, 41957, 42000, 42283, 42297, 42300, 42313, 42428, 42446, 42500, 42501, 42502, 42632, 42695, 42752, 42862, 42880, 42889, 42896, 42946, 43038, 43385, 43415, 43439, 43565, 43572, 43577, 43580, 43767, 43768, 43873, 43901, 44030, 44540, 44543, 44793, 44887, 45021, 45233, 45360, 45380, 45655, 45826, 45931, 45959, 45973, 45976, 46121, 46234, 47781, 47873, 48309, 48973, 48986, 49070, 49077, 49228, 49260, 53438
GO:0006355	regulation of transcription, DNA-templated	291	14	1.78	2.26	0.026	0.039	1.87	0.994	3.24	7	Process	31391, 33759, 34665, 35402, 35483, 37216, 39999, 41944, 42034, 42757, 43580, 44254, 44669, 44936	14462485, 2768661, 2768719, 2768848, 2768981, 31162, 31178, 31248, 31250, 31331, 31353, 31362, 31391, 31429, 31622, 31678, 31680, 31738, 317817, 31802, 31807, 31813, 31913, 32114, 32278, 32301, 32321, 32457, 32461, 32543, 32723, 32757, 32758, 32817, 33044, 33183, 33225, 33229, 33232, 33239, 33294, 33422, 3346145, 33496, 3354888, 3355109, 3355136, 3355151, 33581, 33607, 33692, 33759, 33770, 33823, 33973, 34119, 34172, 34242, 34293, 34328, 34371, 34379, 34395, 34429, 34516, 34568, 34569, 34629, 34665, 34673, 34708, 34837, 34883, 34888, 34901, 35047, 35066, 35132, 35135, 35168, 35184, 35227, 35332, 35398, 35402, 35480, 35483, 35485, 35490, 35501, 35555, 35662, 35682, 35717, 35813, 35880, 35942, 35952, 36032, 36275, 36276, 36373, 36382, 36390, 36461, 36575, 36685, 36702, 36750, 37149, 37216, 37364, 37546, 37730, 37788, 37798, 37822, 37859, 37871, 37874, 37886, 37889, 38004, 38005, 38027, 38055, 38065, 38116, 38451, 38465, 38469, 38518, 38565, 38639, 38700, 38752, 38766, 3885647, 3885665, 38884, 38963, 39039, 39164, 39240, 39377, 39405, 39418, 39431, 39439, 39441, 39567, 39569, 39570, 39581, 39765, 39875, 39961, 39962, 39999, 40030, 40035, 40045, 40095, 40133, 40134, 40162, 40217, 40279, 40285, 40287, 40297, 40345, 40358, 40378, 40398, 40428, 40429, 40562, 40657, 40683, 40693, 40785, 40794, 40813, 40830, 40834, 40842, 40850, 40934, 40937, 40940, 40966, 41084, 41105, 41168, 41182, 41199, 41228, 41266, 41363, 41406, 41461, 41491, 41524, 41526, 41549, 41602, 41697, 41747, 41780, 41944, 41988, 42034, 42037, 42130, 42162, 42173, 42177, 42182, 42210, 42300, 42428, 42433, 42541, 42717, 42757, 42930, 42952, 42993, 43020, 43156, 43162, 43174, 43190, 43236, 43293, 43334, 43378, 43383, 43398, 43566, 43572, 43580, 43725, 43751, 43767, 43769, 43782, 43795, 43812, 43819, 43825, 43833, 43844, 44108, 44205, 44226, 44238, 44254, 44272, 44275, 44451, 44540, 44544, 44548, 44669, 44849, 44855, 44936, 45039, 45285, 45318, 45328, 45339, 45432, 45816, 47249, 47285, 47767, 47894, 47900, 48785, 49816, 50403, 53446, 53560, 53579, 5740176, 5740592, 5740879, 64875
GO:0007298	border follicle cell migration	109	7	2.38	2.41	0.028	0.04	2.51	0.977	5.44	11	Process	33458, 34127, 35007, 37455, 3772082, 39165, 43654	2768716, 2768852, 31221, 31239, 31244, 31293, 31332, 31358, 31459, 31554, 31872, 31987, 32078, 32080, 32088, 32256, 32601, 32661, 32703, 32752, 32813, 32876, 32976, 33185, 33218, 33289, 33346, 33392, 33418, 33458, 33563, 33838, 33863, 33968, 34127, 34171, 34242, 34560, 34573, 34626, 34633, 34772, 34927, 34963, 35007, 35085, 35227, 35253, 35540, 35555, 35922, 35939, 36554, 36698, 36775, 36791, 37142, 37201, 37247, 37386, 37455, 3772082, 37734, 37841, 37851, 37889, 38001, 38146, 38338, 38559, 38580, 38657, 38961, 38978, 39165, 39169, 39368, 39505, 39564, 39583, 39592, 39753, 40712, 40958, 41136, 41140, 41310, 41719, 41783, 42313, 42389, 42428, 42491, 42499, 42501, 42567, 42817, 42889, 43003, 43651, 43654, 43775, 44801, 44885, 45307, 45928, 47869, 48317, 48805
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	161	9	2.07	2.28	0.03	0.042	2.17	0.965	4.3	12	Process	35956, 36171, 3772082, 37967, 41612, 42743, 42757, 43580, 44936	2768981, 31151, 31293, 31429, 31681, 317817, 31802, 31834, 32114, 32273, 32457, 32536, 32567, 32579, 32630, 32792, 32817, 33255, 33419, 33529, 33583, 33602, 33607, 33769, 33770, 33916, 34102, 34629, 34875, 34881, 34903, 34992, 35045, 35047, 35147, 35227, 35341, 35523, 35540, 35555, 35662, 35956, 35974, 36057, 36073, 36171, 36240, 36241, 36264, 36387, 36390, 36421, 36555, 36560, 36678, 37038, 37068, 37336, 37471, 37476, 37492, 37655, 3772082, 37734, 37795, 37851, 37889, 37890, 37967, 37978, 38065, 38198, 38338, 38381, 38478, 38527, 38543, 38752, 38766, 38821, 38872, 38982, 39036, 39039, 39089, 39313, 39439, 39440, 39570, 39682, 39765, 39842, 39962, 39987, 40045, 40162, 40398, 40790, 40813, 40817, 40830, 40832, 40833, 40834, 40835, 40940, 41032, 41084, 41105, 41273, 41290, 41498, 41612, 41709, 41945, 42037, 42175, 42210, 42550, 42717, 42743, 42750, 42757, 42822, 43174, 43222, 43284, 43383, 43572, 43580, 43718, 43767, 43769, 43793, 43812, 43825, 43833, 43856, 43928, 44271, 44275, 44849, 44936, 45318, 45325, 45816, 45848, 45871, 45960, 47080, 47082, 47763, 47767, 47900, 48317, 49638, 50143, 53442, 53446, 53579, 5740592
GO:0009267	cellular response to starvation	75	5	2.47	2.13	0.052	0.069	2.61	0.814	6.45	5	Process	36821, 37733, 41260, 42515, 45380	2768677, 31097, 31195, 31213, 31221, 317987, 31811, 31833, 31943, 32132, 32338, 32919, 32935, 32947, 3354888, 3355130, 33843, 33960, 34070, 34184, 35374, 35574, 35747, 35885, 36019, 36135, 36144, 36251, 36268, 36379, 36447, 36821, 36976, 37141, 37662, 37733, 37769, 37873, 38539, 38541, 38824, 38889, 38913, 38936, 39309, 39454, 39689, 39774, 39904, 39915, 40009, 41071, 41140, 41260, 41561, 41647, 41709, 41973, 42060, 42192, 42196, 42446, 42515, 42633, 42811, 43009, 43236, 43904, 44005, 44072, 44801, 45380, 46032, 48448, 53585
GO:0008360	regulation of cell shape	84	5	2.21	1.85	0.076	0.099	2.31	0.723	5.68	4	Process	34127, 36468, 36915, 38231, 40205	246497, 2768852, 2768961, 31151, 31364, 318206, 32097, 32195, 32608, 32612, 32661, 32752, 32920, 32981, 33148, 33156, 33409, 3355131, 33619, 33864, 34069, 34127, 34519, 34790, 34924, 35095, 35259, 35311, 35336, 35881, 36002, 36468, 36497, 36915, 37038, 37201, 37233, 37521, 37586, 38032, 38231, 38244, 38389, 38728, 38806, 3885565, 38879, 38978, 39961, 39966, 40205, 40292, 40303, 40462, 40464, 40506, 40560, 40617, 40694, 40958, 41136, 41302, 41718, 41861, 41957, 42160, 42366, 42491, 42567, 43651, 43916, 43991, 44030, 44072, 44360, 44573, 44851, 44855, 44885, 45233, 45821, 45959, 48317, 48971
